כותרת,תיאור,תאריך,משך,צפיות,קטגוריה,סוג סרטון,מזהה יוטיוב,קישור סרטון,תמונה ממוזערת,חדש,מוצג בעמוד הבית,קישורים קשורים,קטגוריות,תגיות,תאריך יצירה,תאריך עדכון אחרון,נוצר על ידי,עודכן על ידי,סטטוס,מזהה קישור
שיעור בישיבת בית אל,שיעור בישיבת בית אל,2025-03-01,44 דקות,976,10,youtube,0DSLq0Mofa8,,https://img.youtube.com/vi/0DSLq0Mofa8/hqdefault.jpg,checked,checked,,,,3/22/2026 9:55pm,3/29/2026 11:03pm,1,1,פעיל,lesson-at-yeshivat-bet-el
"שיעור ""יום ירושלים"", ישיבת מרכז הרב","שיעור בישיבת מרכז הרב - יום ירושלים התשפ""ה 1",2025-06-01,15:08 דקות,603,11,youtube,PqGQXlzxeyk,,https://img.youtube.com/vi/PqGQXlzxeyk/hqdefault.jpg,,,,,,3/22/2026 11:02pm,4/15/2026 6:23am,1,1,פעיל,jerusalem-day-merkaz-harav-yeshiva
ליל הסדר בהלכה ובאגדה - שיעור בישיבת ברכת משה מעלה אדומים,"בשיעור מיוחד שהעביר בישיבה לרגל סיום זמן חורף, עסק הרב בסוגיית 'שומע כעונה', בהקשר פסח ובכלל. הרב עסק בדין זה בנוגע למצוות סיפור יציאת מצרים, לדיני קידוש, לדיני תפילה ועוד. בסוף השיעור דיבר הרב על גדולת הימים בהם אנו נמצאים, על נחמה והתמודדות עם קושי - בעזרת התבוננות בהשגחת ה' בעולם.",2026-03-22,1:06,,3,youtube,GFSMGJ3U9eg,,https://img.youtube.com/vi/GFSMGJ3U9eg/hqdefault.jpg,checked,,,,,3/24/2026 3:33pm,4/15/2026 6:23am,6,6,פעיל,leil-haseder-halacha-agada-yeshivat-berkat-moshe
"פרשת בראשית, ברכת שבת",,2015-10-15,48:00,,12,youtube,v4pc5pEMxdI,,https://img.youtube.com/vi/v4pc5pEMxdI/hqdefault.jpg,,,,,,3/25/2026 7:35am,4/15/2026 6:23am,6,6,פעיל,parashat-bereshit-shabbat-blessing
"פרשת נח, בהפרידו בני אדם",,,10:51,,12,youtube,5rEZMRY6HhQ,,https://img.youtube.com/vi/5rEZMRY6HhQ/hqdefault.jpg,,,,,,3/25/2026 8:30am,4/15/2026 6:23am,6,6,פעיל,parashat-noach-separation-of-people
"פרשת לך לך, ראה לגברת אמת שפחה נואמת",,2015-12-10,13:27,,12,youtube,m-d_pS0GMgA,,https://img.youtube.com/vi/m-d_pS0GMgA/hqdefault.jpg,,,,,,3/25/2026 8:31am,4/15/2026 6:23am,6,6,פעיל,lech-lecha-lady-emet-speaks
"פרשת וירא, פרשת העקדה",,2015-12-09,,,12,youtube,X_WQHfuNCLo,,https://img.youtube.com/vi/X_WQHfuNCLo/hqdefault.jpg,,,,,,3/25/2026 10:22am,4/15/2026 6:23am,6,6,פעיל,vayera-akeda-parsha
"פרשת חיי שרה, הניסיון בקבורת שרה",,,,,12,youtube,rSmjP8VtF-Q,,https://img.youtube.com/vi/rSmjP8VtF-Q/hqdefault.jpg,,,,,,3/25/2026 11:05am,4/15/2026 6:23am,6,6,פעיל,chayei-sarah-burial-test
"פרשת תולדות, המאבק עם הפלשתים על ארץ ישראל",,,,,12,youtube,XLCEcvPtaKU,,https://img.youtube.com/vi/XLCEcvPtaKU/hqdefault.jpg,,,,,,3/25/2026 11:07am,4/15/2026 6:23am,6,6,פעיל,toldot-struggle-philistines-israel
"פרשת ויצא, צא ולמד מה ביקש לבן הארמי",,,,,12,youtube,rZXPodvwR14,,https://img.youtube.com/vi/rZXPodvwR14/hqdefault.jpg,,,,,,3/25/2026 11:10am,4/15/2026 6:23am,6,6,פעיל,vayetze-go-and-learn-lavan
