מזהה תשובה,תוכן התשובה,שאלה,סוג כותב,תאריך,מאושר לפרסום
1,,,השואל,29/3/2026 11:39am,checked
30,שאלה יפה שאלת,,אוטומטי,12/4/2026 1:42am,
31,מנסה שוב לשאול,,השואל,12/4/2026 1:42am,
32,מעולה עובד טוב,,רב,12/4/2026 1:43am,
23,תשובה 1,3,רב,29/3/2026 8:20pm,
25,המשך בדיקת סטטוס שאלה,3,השואל,29/3/2026 8:41pm,
26,המשך בדיקת סטטוס שאלה מהרב,3,רב,29/3/2026 8:42pm,
28,שגיעחינלחל,3,השואל,10/4/2026 12:06am,
29,יחיח,3,רב,10/4/2026 12:07am,
16,cshev בדיקה,10,רב,26/3/2026 2:00am,
17,"בדיקה בדיקה בדיקה 33333 לבךבלדך
במסצב",10,רב,26/3/2026 2:00am,
21,בדיקה 4,10,רב,29/3/2026 3:00am,
27,יעיעיעי,11,רב,10/4/2026 12:03am,
33,1:426,16,רב,13/4/2026 4:24pm,
